skill,tech_level_required,specialization_required,description,defaults,difficulty,attribute,modifiers
Fishing,,,"This is the ability to catch fish – with a net, hook and line, or whatever method is used in your culture. If you have proper equipment and there are fish to be caught, a successful roll catches them. If you lack equipment, you can improvise.",Perception-4,Easy,Perception,Equipment modifiers (p. 345).
Flail,,,"A flail is any flexible, unbalanced weapon with its mass concentrated in the head. Such a weapon cannot parry if you have already attacked with it on your turn. Because flails tend to wrap around the target’s shield or weapon, attempts to block them are at -2 and attempts to parry them are at -4. Fencing weapons and knives cannot parry them at all! An unarmed fighter can parry a flail, but at -4 in addition to any penalty for parrying unarmed. 

Any one-handed flail, such as a morningstar or nunchaku. ","DX-6, Axe/Mace-4, Two-Handed Flail-3.",Hard,Dexterity,
Flight,,,"This skill represents training for endurance flying. Use the better of Flight or HT when rolling to avoid fatigue due to flying. When traveling long distances, a successful Flight roll increases the distance traveled by 20%. If a group of fliers is traveling together, all must make the Flight roll in order to get the increased distance.",HT-5. Prerequisite: Flight advantage (p. 56). ,Average,Health,
Flying Leap,,,"This skill allows you to make incredible leaps. It costs 1 FP per attempt, successful or not. 

On a success, you may immediately attempt a jump. Use the standard jumping rules (see Jumping, p. 352), but triple your jumping distance. On a failure, you may still attempt the jump, but you receive no bonus and make all jumping-related rolls at -5. On a critical failure, you fall down! 

You may use Flying Leap to jump into someone as part of an attack. Such attacks are at an extra -2 to hit, but if you do hit, triple your ST for damage and knockback purposes. In a slam or collision, calculate Move from jumping distance as described for Super Jump (p. 89), and use this velocity to calculate damage. ","None. Prerequisites: Trained By A Master or Weapon Master, and both Jumping and Power Blow. ",Hard,Intelligence,"-10 if used instantly, dropping to -5 after 1 turn of concentration, -4 after 2 turns, -3 after 4 turns, -2 after 8 turns, -1 after 16 turns, and no penalty after 32 turns."
Force Sword,,,"Any sword with a “blade” made of energy instead of matter. This generally refers to an ultra-tech weapon that projects energy from a powered hilt, but extends to similar effects produced using magic or psionics.

A sword is a rigid, hilted blade with a thrusting point, cutting edge, or both. All swords are balanced, and can attack and parry without becoming unready. ","DX-5, Any sword skill at -3.",Average,Dexterity,
Force Whip,,,"A whip is a flexible weapon made from a length of chain, leather, wire, etc. A whip can be up to seven yards long – but note that a whip two yards or more in length cannot strike at one yard or closer, and is slow to ready after an attack. A whip tends to wind around its target, making it an excellent disarming and entangling weapon. However, a whip’s lack of rigidity makes it a poor parrying weapon. For details, see Special Melee Weapon Rules (p. 404). 

Any whip made of pure energy instead of matter. These are usually ultra-tech devices that project energy from a powered hilt, but magical or psi-tech versions are possible. Most force whips can lash the target but not ensnare him. ","DX-5, Kusari-3, Monowire-3, Whip-3.",Average,Dexterity,
Forced Entry,,,"This is the ability to kick in doors and windows, or demolish them with a crowbar, ram, or sledgehammer, without necessarily being adept at melee combat. Make a skill roll to hit an inanimate object with your foot or an impact weapon. Add +1 per die to basic thrust or swing damage if you have this skill at DX+1, +2 per die if you know it at DX+2 or better. Add a similar bonus (+1 or +2) to ST rolls made for forced entry. The damage bonus also applies when you use Melee Weapon skills to wreck inanimate objects out of combat. 

For subtle break-ins, use Lockpicking skill (p. 206).",None.,Easy,Dexterity,
Forensics,TRUE,,"This is the ability to apply the principles of forensic science and criminalistics, such as the computation of bullet paths and the microscopic or chemical analysis of clues. Some disciplines require other skills. For instance, a forensic pathologist performing an autopsy would roll against Surgery skill.",IQ-6 or Criminology-4,Hard,Intelligence,
Forgery,TRUE,,"This is the ability to create falsified documents (identity cards, passports, etc.). It is not taught except by intelligence agencies and the underworld – although you can always study it on your own. 

The time required to create a forgery ranges from days to weeks (GM decides). When you use a forged document, make your Forgery roll each time it is inspected – unless you roll a critical success on your first attempt. Failure means someone spots the forgery. 

Some tasks require DX-based skill rolls, in which case modifiers for High Manual Dexterity (p. 59) or Ham-Fisted (p. 138) apply. The GM may allow Forgery to default to a suitable Artist specialty at -5 if you are doing the work entirely by hand. ",IQ-6 or Counterfeiting-2.,Hard,Intelligence,"Equipment modifiers (p. 345); +3 if you merely altered a genuine document; -5 if you did not have a sample to copy. The GM may also assign modifiers based on the severity of the inspection; a routine border check, for instance, would give a +5 bonus."
Fortune-Telling,,TRUE,"This is the art of interviewing someone in order to learn more about his lifestyle and personality, and then using this information to make an “educated guess” about his future that you can pass off as supernatural divination. Suitable props – star charts, tea leaves, etc. – can enhance the illusion. Knowledge of traditional occult or religious beliefs (especially those of your subject) can also lend an air of legitimacy. 

With the GM’s permission, you can sometimes use Fortune-Telling in place of Fast-Talk (by making predictions that guide the subject toward a particular course of action), or Interrogation or Psychology (by asking the subject leading questions under the pretense of telling his fortune). This is only possible if the subject believes you are a genuine fortune-teller and you take the time to do a full “reading” for him. 

You must specialize in a particular mantic art. Available specialties include Astrology, Augury (interpretation of natural omens, such as flocks of birds), Crystal Gazing, Dream Interpretation, Feng Shui, Palmistry, and Tarot. 

This skill is not a paranormal talent, and the GM is under no obligation to supply you with hints of future events. You might wish to learn this skill if you have actual divinatory abilities, though, as it enables you to present your predictions in a culturally acceptable way. “I saw it in the stars” may be less likely to get you burned as a witch than “I cast a spell”! ","IQ-5, Fast-Talk-3, or Occultism-3.",Average,Intelligence,"+1 for Sensitive or +3 for Empathy (p. 51); any Charisma bonus; -3 if using Fortune-Telling in place of Fast-Talk, Interrogation, or Psychology"
