spell,spell_class,description,duration,cost_to_cast,cost_to_maintain,time_to_cast,prerequisites,difficulty,spell_college,item_enchantment
Choke,Regular; Resisted by HT,"The subject becomes unable to breathe (or speak) and suffers the effects of suffocation (see Suffocation, p. B436). The spell cannot be maintained; so constant recasting is required to cut off enough of the victim’s air supply to do any real harm.",30 seconds,4,,,"Magery 1 and at least five Body Control spells, including Spasm.",Hard,Body Control,"Staff or wand. Usable only by mages; the item must touch the subject.
Energy cost to create: 200."
Control Limb,Regular; Resisted by Will,"One of the subject’s limbs (including wings, tentacles, etc) is under the caster’s control! Arms can be made to swing weapons (use the caster’s skill); legs can be made to kick, twist, and so on. The caster must continually concentrate to control the limb once the spell is cast; failure to do so causes the limb to “go dead” for the duration. The victim may attempt to grapple himself to prevent his limb from acting, but he is at -3 on contests of ST or DX with himself! If a caster forces the subject to attack himself with his own weapon or fist, hit rolls are still required (against the subject’s skill+4), and the victim may Dodge at -2. He can even parry (also at -2) if he has an appropriate weapon in his other hand! Treat as Close Combat for legal weapons and any appropriate penalties.",5 seconds,3,"3 to maintain. If cast only on a hand (or analogous limb), the cost to cast or maintain is only 2, but the subject can only be forced to increase or release his grip, and so on. This can still interfere with spellcasting gestures, throwing grenades, and discharging firearms . . .",,"Magery 1 and at least five Body Control spells, including Spasm.",Hard,Body Control,"Staff or wand. Usable only by mages; the item must be pointed at the subject.
Energy cost to create: 800."
Paralyze Limb,Melee; Resisted by HT,"The caster must strike the subject on a limb to trigger this spell (hits elsewhere have no effect). Armor does not protect. Resolve resistance on contact. If the subject fails to resist, the subject’s limb is paralyzed; it is considered crippled for one minute.",1 minute,3,,,"Magery 1 and at least five Body Control spells, including Clumsiness.",Hard,Body Control,"Staff or wand. Usable only by mages; the item must touch the subject.
Energy cost to create: 1,000."
Total Paralysis,Melee; Resisted by HT,"The caster must touch the subject on the head (-5 to caster’s attack roll). If the subject fails to resist, he is totally paralyzed and cannot move at all for one minute (in the average game, until that battle is over).",1 minute,5,,,Paralyze Limb,Hard,Body Control,"Staff or wand. Usable only by mages; the item must touch the subject.
Energy cost to create: 2,000."
Wither Limb,Melee; Resisted by HT,"The caster must strike the subject on a limb to trigger this spell (hits elsewhere have no effect). Armor does not protect. Resolve resistance on contact. If the caster wins, the subject’s limb withers immediately; it is crippled for all purposes (see Crippling Injury, p. B420). The subject also takes 1d damage.",Permanent unless healed by magic or extraordinary technology.,5,,,Magery 2 and Paralyze Limb.,Hard,Body Control,"Staff or wand. Usable only by mages; the item must touch the subject.
Energy cost to create: 2,000."
Strike Barren,Regular; Resisted by HT,"Renders infertile any subject that was capable of producing offspring. Restoration or Remove Curse will undo the spell. Used on a plant, this spell prevents it from ever bearing pollen, fruit, or seed.",Permanent,5,,30 seconds,"Magery 1, Steal Vitality, and Decay",Hard,"Body Control, Necromantic","(a) Staff or wand. Usable only by mages; the item must touch the subject.
Energy cost to create: 200.

(b) Any item. Always on; the wearer is infertile/ barren while the item is worn.
Energy cost to create: 800."
Deathtouch,Melee,The caster must strike the subject to trigger this spell; hit location is irrelevant. The subject takes 1d damage per point of energy in the spell. Armor does not protect. This spell does affect the undead.,,1 to 3,,,Wither Limb,Hard,Body Control,"Staff or wand; the item must be colored jet black. Usable only by mages; the item must touch the subject.
Energy cost to create: 2,500."
Alter Voice,Regular; Resisted by HT,"Changes the subject’s voice as the caster wills. If the caster is trying to duplicate an existing voice, the “model” voice should be available.
Recreating a familiar voice from memory is at -2 to skill, -3 or worse if the caster has only heard the voice a few times, or a long time ago. Eidetic Memory is helpful here (p. 51).
The subject’s voice can also be altered to make it more pleasing or more grating, granting a bonus or penalty (from +2 to -2) to reaction rolls and skills involving vocal communication for the duration of the spell.
The spell cannot “give” a voice to a mute person. If this spell is used to permanently improve a PC’s voice (giving him the Voice advantage), the GM should require him to pay the appropriate character points!",1 hour,2,"2 to maintain. The change may be made permanent, as an enchantment, for an energy cost of 200.",1 minute,At least four Body Control and four Sound spells.,Hard,"Body Control, Sound","Any, but usually jewelry. Gives the wearer a new voice, preset by the caster.
Energy cost to create: 1,000."
Alter Visage,Regular; Resisted by HT,"Changes the subject’s face as the caster wills. Any new organs (e.g., extra eyes) do not really function. Other than that, any change is possible. If the caster is trying to duplicate an existing face, he is at -1 if he does not have the model (or a good picture) available; if he is not too familiar with the model, -2 or worse.
This spell cannot be used to injure the subject. Mages do not get an automatic IQ + Magery roll to realize someone is under this spell. If this spell or Alter Body (below) is used to permanently improve a PC’s looks, the GM should require him to pay the appropriate character points for the improvement!","1 hour unless made permanent. May be removed by Alter Visage, Alter Body, or Remove Curse.",4,"3 to maintain. May be made permanent, as an enchantment, for an energy cost of 40.",1 minute,Eight Body Control spells and either Shapeshifting or Perfect Illusion.,Hard,Body Control,"Any, but usually clothing or jewelry. Gives the wearer a new face, preset by the caster.
Energy cost to create: 1,000."
Alter Body,Regular; Resisted by HT,"As for Alter Visage, except that the subject’s entire body (e.g., skin, hair, limbs) may be altered. The subject’s general form cannot change: humanoids stay humanoid. No extra limbs, wings, etc., may be added. Simpler additions are possible (non- prehensile tails, horns, hooves), but the subject will be unfamiliar with them, and may suffer penalties to DX until a suitable adjustment period (GM’s decision) has passed. The subject’s mass must remain the same; basic stats do not change.",1 hour unless made permanent. May be removed by Alter Body or Remove Curse.,8,"6 to maintain. May be made permanent, as an enchantment, for an energy cost of 200.",2 minutes,Alter Visage,Hard,Body Control,"Any, but usually clothing or jewelry. Gives the wearer a new appearance, preset by the caster.
Energy cost to create: 4,000."
Lengthen Limb,Regular,"The caster’s arm (usually – but legs, pseudopods and so on are also legal) lengthens, becoming like a very long snake. The limb lengthens at a rate of 1 yard per second, with no upper limit. The caster retains his full sense of touch, and must feel his way forward once the end of the limb grows out of view, or use Wizard Eye or some similar spell to guide it. He must remain still; the actual lengthening requires concentration, but the caster may relax once he has achieved the desired length.
The extended limb may make a tempting target for whoever happens on it! When the spell ends, or in an emergency, the limb is “reeled back in” at the caster’s full Basic Speed score. This is useful for reaching the keys outside the cell, or snatching the caliph’s prize jewel as he sleeps.",1 minute,2,2,5 seconds,Magery 3 and Shapeshifting,Hard,Body Control,"Wand. Usable only by mages.
Energy cost to create: 1,000."
Decapitation,Regular; Resisted by HT+2,"The subject’s head comes off! When this spell is cast, the subject’s head (or one of them, if the subject has several) comes free of its body, but continues to live on its own. The subject is not harmed, but the head takes falling damage if it is not carefully removed or caught! The head can talk, see, and control the actions of its body normally. If the head is somehow blinded (put in a bag, for instance), then it will have trouble  telling its body where to walk . . .

The spell, once cast, is permanent until somebody puts the head back in the proper place and wills it to attach (if the head is unwilling, proceed to a Regular Contest of Wills). If it is cast on a foe, who then regains the head and reattaches it, the caster has no say in the matter, although he can  certainly cast the spell again . . .

This spell, while useful in combat, has several other uses. A mage with a broken leg could leave his body behind and travel with the party as a head! Note, however, that bodies cannot feed themselves without mouths, and if the mage attempted to cast a spell requiring hand motions, the range penalties would apply from his body, not his head!",See Description,4,,2 seconds,Magery 2 and Alter Body,Hard,Body Control,"Staff, wand, or jewelry. Usable only by mages.
Energy cost to create: 1,000."
